idlocation,city,country,year_est,idruling_powers,name,year_start,year_end,lat,longitude,notes
17,Orangjestad,St. Eustatius,1737,10,France,1742,1742,17.4867485,-62.9764978,"French invasion: 1742 War of Austrian Succession, French threat to islanders, many fled w slaves to Curacao, including Jews- who emptied synagogue of content- various objects, ornaments, furnishings, lamps, sconces, candlestickes, candlesnuffer,. Two scrolls with mantles bands silver and wooden rimmonim, shofar, three silver pointers, spice box, sveral silk covereings of tebah, even holy ark w all drapes. Representatives Philip Benjamin and Sarah de la Morra left with Mikve Israel for safe keeping"
17,Orangjestad,St. Eustatius,1737,8,Dutch Republic,1742,1780,17.4867485,-62.9764978,
26,Philadelphia,United States,1740,2,The Restoration,1681,1776,39.9525839,-75.1652215,Province of Pennsylvania
26,Philadelphia,United States,1740,15,United States,1776,2021,39.9525839,-75.1652215,NULL
21,Gibraltar,United Kingdom,1749,4,Kingdoms of England and Scotland,1704,2021,36.140751,-5.353585,"Officially ceded to Great Britain in 1713, Treaty of Utrecht"
23,Charleston,United States,1749,2,The Restoration,1680,1782,32.7764749,-79.9310512,NULL
23,Charleston,United States,1749,15,United States,1782,2021,32.7764749,-79.9310512,NULL
31,Christiansted,St. Croix,1764,12,Danish West India Company,1733,1754,17.744077,-64.704155,Danish purchased St. Croix from French West India Company
31,Christiansted,St. Croix,1764,13,Danish Empire,1754,1801,17.744077,-64.704155,King Frederick took direct control of Saint Croix from the company
31,Christiansted,St. Croix,1764,6,United Kingdom,1801,1802,17.744077,-64.704155,
31,Christiansted,St. Croix,1764,13,Danish Empire,1802,1807,17.744077,-64.704155,
31,Christiansted,St. Croix,1764,6,United Kingdom,1807,1815,17.744077,-64.704155,
31,Christiansted,St. Croix,1764,13,Danish Empire,1815,1916,17.744077,-64.704155,Sold to US
30,Montreal,Canada,1768,10,France,1642,1760,45.5016889,-73.567256,Rough years of French Colony
30,Montreal,Canada,1768,6,United Kingdom,1760,1775,45.5016889,-73.567256,British rule
30,Montreal,Canada,1768,15,United States,1775,1776,45.5016889,-73.567256,American Occupation
30,Montreal,Canada,1768,6,United Kingdom,1776,1867,45.5016889,-73.567256,"Province of Canada, joined Dominion of Canada 1867"
18,Philipsburg,St. Maarten,1783,11,Spain,1633,1648,18.0295839,-63.0471371,NULL
18,Philipsburg,St. Maarten,1783,8,Dutch Republic,1631,1633,18.0295839,-63.0471371,NULL
18,Philipsburg,St. Maarten,1783,8,Dutch Republic,1648,2021,18.0295839,-63.0471371,"Split Island w French, border changed freq. during 17th-18th c"
28,Richmond,United States,1789,6,United Kingdom,1742,1782,37.5407246,-77.4360481,NULL
28,Richmond,United States,1789,15,United States,1782,2021,37.5407246,-77.4360481,NULL
20,Charlotte Amalie,St. Thomas,1796,12,Danish West India Company,1671,1754,18.3419004,-64.9307007,Danish West India Co
20,Charlotte Amalie,St. Thomas,1796,13,Danish Empire,1754,1801,18.3419004,-64.9307007,Danish Crown
20,Charlotte Amalie,St. Thomas,1796,6,United Kingdom,1801,1802,18.3419004,-64.9307007,British Occupation
20,Charlotte Amalie,St. Thomas,1796,13,Danish Empire,1802,1807,18.3419004,-64.9307007,NULL
20,Charlotte Amalie,St. Thomas,1796,6,United Kingdom,1807,1815,18.3419004,-64.9307007,British Occupation
20,Charlotte Amalie,St. Thomas,1796,13,Danish Empire,1815,1917,18.3419004,-64.9307007,Purchased by US in 1917
