idpeople,surname,first,name,studied_under,title,idcongregation,year_est,congregation_name,rite,year_start,year_end,source_location,sourceX,sourceY,source_region,target_location,targetX,targetY,target_region,people_notes,rabbi_notes,cit_short,pg
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,26,1740,Mikveh Israel,sephardic,1772,1772,"Kingston, Jamaica",18.0178743,-76.8099041,Caribbean,"Philadelphia, United States",39.9525839,-75.1652215,North America,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community",visiting Philadelphia,"Mirvis, 2018",
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,19,1654,Shearith Israel,sephardic,1772,1773,"Philadelphia, United States",39.9525839,-75.1652215,North America,"New York, United States",40.7127753,-74.0059728,North America,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","Arrived in NY from Jamaica, stayed 6mo, then went to Newport","de Sola Pool, 1955",397
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,24,1758,Jeshuat Israel,sephardic,1773,1773,"New York, United States",40.7127753,-74.0059728,North America,"Newport, United States",41.4901024,-71.3128285,North America,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","Arrived March 3, 1773","de Sola Pool, 1955",397
25,Carigal,Haim Isaac,Haim Isaac Carigal,,Emissary,20,1735,Zedek ve Shalom,sephardic,1773,1774,"Newport, United States",41.4901024,-71.3128285,North America,"Paramaribo, Suriname",5.8520355,-55.2038278,South America,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community","Sailed to Suriname July 21, 1773",,
25,Carigal,Haim Isaac,Haim Isaac Carigal,,haham,7,1654,Nidhe Israel,sephardic,1775,1777,"Paramaribo, Suriname",5.8520355,-55.2038278,South America,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,"Traveling Hebron emissary, buried in Bridgetown Barbados. Wrote with Ezra Stiles, Newport community",Died in Barbados,"Emmanuel and Emmanuel, 1970",249
26,Pardo,Josiah,Josiah Pardo,128,,,,,,,1649,,,,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"late 17th c. Amterdam-trained hakham in Port Royal, Jamaica","late 17th c. Amterdam-trained hakham in Port Royal, Jamaica",,
26,Pardo,Josiah,Josiah Pardo,,,,,,,1649,1669,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Rotterdam, Netherlands",51.916667,4.5,Western Europe,"late 17th c. Amterdam-trained hakham in Port Royal, Jamaica",teacher at yeshibah de los pintos,,
26,Pardo,Josiah,Josiah Pardo,,,4,1638,Talmud Torah,sephardic,1669,1674,"Rotterdam, Netherlands",51.916667,4.5,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"late 17th c. Amterdam-trained hakham in Port Royal, Jamaica",,,
26,Pardo,Josiah,Josiah Pardo,,,9,1651,Mikve Israel,sephardic,1674,1683,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"late 17th c. Amterdam-trained hakham in Port Royal, Jamaica","First Rabbi Curacao, come from Rotterdam Yeshiva","Stiefel, 2014",111
26,Pardo,Josiah,Josiah Pardo,128,haham,10,1684,Neve Zedek,sephardic,1683,,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Port Royal, Jamaica",17.9367669,-76.8411038,Caribbean,"late 17th c. Amterdam-trained hakham in Port Royal, Jamaica",,"Andrade, 1941",39
27,Cordova,Joshua Hezekiah de,Joshua Hezekiah de Cordova,,,,,,,,,,,,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Jamaican hakham between 1755-1797, Amsterdam-trained, author 1788 ""Reason and Faith""; rabbi Amsterdam 1744-48, Curacao 1748-55","Jamaican hakham between 1755-1797, Amsterdam-trained, author 1788 ""Reason and Faith""; rabbi Amsterdam 1744-48, Curacao 1748-55",,
27,Cordova,Joshua Hezekiah de,Joshua Hezekiah de Cordova,,rabbi,4,1638,Talmud Torah,sephardic,1744,1748,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Jamaican hakham between 1755-1797, Amsterdam-trained, author 1788 ""Reason and Faith""; rabbi Amsterdam 1744-48, Curacao 1748-55",,"Stern, 1991",52
27,Cordova,Joshua Hezekiah de,Joshua Hezekiah de Cordova,,rabbi,9,1651,Mikve Israel,sephardic,1748,1753,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Jamaican hakham between 1755-1797, Amsterdam-trained, author 1788 ""Reason and Faith""; rabbi Amsterdam 1744-48, Curacao 1748-55",,"Stern, 1991",52
27,Cordova,Joshua Hezekiah de,Joshua Hezekiah de Cordova,,haham,15,1692,Neve Shalom,sephardic,1753,1797,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Spanish Town, Jamaica",18.0193171,-76.9758274,Caribbean,"Jamaican hakham between 1755-1797, Amsterdam-trained, author 1788 ""Reason and Faith""; rabbi Amsterdam 1744-48, Curacao 1748-55",Spiritual head of both Spanish Town and Kingston congregations,"Andrade, 1941",43
27,Cordova,Joshua Hezekiah de,Joshua Hezekiah de Cordova,,haham,16,1693,Shaar Ha Shamaim,sephardic,1753,1797,"Spanish Town, Jamaica",18.0193171,-76.9758274,Caribbean,"Kingston, Jamaica",18.0178743,-76.8099041,Caribbean,"Jamaican hakham between 1755-1797, Amsterdam-trained, author 1788 ""Reason and Faith""; rabbi Amsterdam 1744-48, Curacao 1748-55",Spiritual head of both Spanish Town and Kingston congregations,"Andrade, 1941",43
44,Robles,Jacob,Jacob Robles,,hazzan,21,1737,Honen Dalim,sephardic,,,,,,,"Orangjestad, St. Eustatius",17.4867485,-62.9764978,Caribbean,"Hazan of Honen Dalim congregation, Statia. gravestone on St Eustatius",,"Stern, 1991",305
48,Israel,Menasseh ben,Menasseh ben Israel,50,,,,,,,,,,,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,Amsterdam Rabbi,,,
48,Israel,Menasseh ben,Menasseh ben Israel,,,2,1608,Neveh Shalom,sephardic,1622,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,Amsterdam Rabbi,,,
49,Vega,Judah,Judah Vega,,,2,1608,Neveh Shalom,sephardic,1608,1610,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,first Rabbi of Amsterdam's Neveh Shalom in 1608,left for constantinople,,
49,Vega,Judah,Judah Vega,,,,,,,1610,,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Constantinople, Ottoman Empire",41.013889,28.955556,Middle East,first Rabbi of Amsterdam's Neveh Shalom in 1608,,,
50,Uziel,Isaac ben Abraham,Isaac ben Abraham Uziel,,,2,1608,Neveh Shalom,sephardic,1610,1622,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"second rabbi Neveh Shalom in Amsterdam, 1610-20",,,
51,Aguilar,Moses Raphael de,Moses Raphael de Aguilar,,hazzan,5,1637,Zur Israel,sephardic,1642,1654,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Recife, Brazil",-8.054074,-34.8708494,South America,"Rabbi, travels to Recife w Aboab in 1642","traveled w da fonseca, idpeople: 22",,
51,Aguilar,Moses Raphael de,Moses Raphael de Aguilar,,hakam,4,1638,Talmud Torah,sephardic,1654,1679,"Recife, Brazil",-8.054074,-34.8708494,South America,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Rabbi, travels to Recife w Aboab in 1642",,,
52,Sasportas,Jacob,Jacob Sasportas,,,,,,,1634,1653,,,,,"Oran, Algeria",35.696944,-0.633056,North Africa,"Hamburg Rabbi 1665, anti-Shabbatean","Born in Oran, rabbi of Tlemcen, Morocco, Fez, Sali. Escaped to Amsterdam in 1653",,
52,Sasportas,Jacob,Jacob Sasportas,,,4,1638,Talmud Torah,sephardic,1653,1664,"Oran, Algeria",35.696944,-0.633056,North Africa,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Hamburg Rabbi 1665, anti-Shabbatean","Returned to Morocco on mission for King of Morocco, 1659?, then went to England",,
52,Sasportas,Jacob,Jacob Sasportas,,,14,1656,Sha'ar Hashamayim,sephardic,1664,1665,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"London, England",51.5073509,-0.1277583,Western Europe,"Hamburg Rabbi 1665, anti-Shabbatean",,,
52,Sasportas,Jacob,Jacob Sasportas,,,,,,,1665,1673,"London, England",51.5073509,-0.1277583,Western Europe,"Hamburg, Germany",53.551085,9.993682,Western Europe,"Hamburg Rabbi 1665, anti-Shabbatean",Rabbi in Hamburg,,
52,Sasportas,Jacob,Jacob Sasportas,,,4,1638,Talmud Torah,sephardic,1673,1675,"Hamburg, Germany",53.551085,9.993682,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Hamburg Rabbi 1665, anti-Shabbatean","Head of yeshibah Keter Torah, founded by Pinto Brothers",,
52,Sasportas,Jacob,Jacob Sasportas,,,,,,,1675,1680,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Livorno, Italy",43.55,10.316667,Western Europe,"Hamburg Rabbi 1665, anti-Shabbatean",Dayyan and head of yeshiba at Leghorn,,
52,Sasportas,Jacob,Jacob Sasportas,,,4,1638,Talmud Torah,sephardic,1680,1693,"Livorno, Italy",43.55,10.316667,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Hamburg Rabbi 1665, anti-Shabbatean","Head of Etz Heyyim in Amsterdam, until appointed head Rabbi",,
52,Sasportas,Jacob,Jacob Sasportas,,,4,1638,Talmud Torah,sephardic,1693,1698,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Hamburg Rabbi 1665, anti-Shabbatean",Appointed Head Rabbi following Aboab's death,,
53,Nieto,David,David Nieto,,,,,,,,1702,,,,,"Livorno, Italy",43.55,10.316667,Western Europe,"Hakhan London Bevis Marks, 1702",Physician and preacher in Italy,,
53,Nieto,David,David Nieto,,,14,1656,Sha'ar Hashamayim,sephardic,1702,1728,"Livorno, Italy",43.55,10.316667,Western Europe,"London, England",51.5073509,-0.1277583,Western Europe,"Hakhan London Bevis Marks, 1702",,,
54,Templo,Jacob Jehudah Leon,Jacob Jehudah Leon Templo,,,,,,,1628,1630,,,,,"Hamburg, Germany",53.551085,9.993682,Western Europe,"Amsterdam rabbi, temple and tabernacle model",end date est,,
54,Templo,Jacob Jehudah Leon,Jacob Jehudah Leon Templo,,,,,,,1630,1643,"Hamburg, Germany",53.551085,9.993682,Western Europe,"Middelburg, Netherlands",51.4987962,3.610998,Western Europe,"Amsterdam rabbi, temple and tabernacle model",,,
54,Templo,Jacob Jehudah Leon,Jacob Jehudah Leon Templo,,,4,1638,Talmud Torah,sephardic,1643,1675,"Middelburg, Netherlands",51.4987962,3.610998,Western Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Amsterdam rabbi, temple and tabernacle model",teacher at Talmud Torah,,
54,Templo,Jacob Jehudah Leon,Jacob Jehudah Leon Templo,,visiting,14,1656,Sha'ar Hashamayim,sephardic,1674,1675,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"London, England",51.5073509,-0.1277583,Western Europe,"Amsterdam rabbi, temple and tabernacle model",visiting,,
55,Malki,Moses,Moses Malki,,Emissary,,,,,,1758,,,,,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"Rabbi, visited Newport in 1759, see Ezra Stiles",,"Mirvis, 2018",
55,Malki,Moses,Moses Malki,,Emissary,24,1758,Jeshuat Israel,sephardic,1759,1759,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"Newport, United States",41.4901024,-71.3128285,North America,"Rabbi, visited Newport in 1759, see Ezra Stiles",Sent from NY,"Mirvis, 2018",
55,Malki,Moses,Moses Malki,,Emissary,19,1654,Shearith Israel,sephardic,1759,1759,"Newport, United States",41.4901024,-71.3128285,North America,"New York, United States",40.7127753,-74.0059728,North America,"Rabbi, visited Newport in 1759, see Ezra Stiles","In NY, 18-weeks, paid stay","Mirvis, 2018",
56,David,Moses Bar,Moses Bar David,,Emissary,,,,,,1771,,,,,"Warsaw, Poland",52.2296756,21.0122287,Western Europe,"Rabbi, visited Newport in 1772, see Exra Stiles",,,
56,David,Moses Bar,Moses Bar David,,Emissary,24,1758,Jeshuat Israel,sephardic,1772,1772,"Warsaw, Poland",52.2296756,21.0122287,Western Europe,"Newport, United States",41.4901024,-71.3128285,North America,"Rabbi, visited Newport in 1772, see Exra Stiles","visiting, from Poland",,
57,Jehudah,Tobiah ben,Tobiah ben Jehudah,,Emissary,,,,,,1772,,,,,"Warsaw, Poland",52.2296756,21.0122287,Western Europe,"Rabbi, visited Newport in 1773",,,
57,Jehudah,Tobiah ben,Tobiah ben Jehudah,,Emissary,24,1758,Jeshuat Israel,sephardic,1773,1773,"Warsaw, Poland",52.2296756,21.0122287,Western Europe,"Newport, United States",41.4901024,-71.3128285,North America,"Rabbi, visited Newport in 1773","visiting, from Poland",,
58,Cohen,Samuel,Samuel Cohen,,Emissary,,,,,,1772,,,,,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"Rabbi, visited Newport in 1775","Left Hebron for W. Europe, born Jerusalem, had prev. travelled N. Africa. Mirvis, 2018","Mirvis, 2018",
58,Cohen,Samuel,Samuel Cohen,,Emissary,4,1638,Talmud Torah,sephardic,1772,1772,"Hebron, Ottoman Empire",31.533333,35.095,Middle East,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Rabbi, visited Newport in 1775",Hebron to Amsterdam?,"Mirvis, 2018",
58,Cohen,Samuel,Samuel Cohen,,Emissary,14,1656,Sha'ar Hashamayim,sephardic,1773,1773,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"London, England",51.5073509,-0.1277583,Western Europe,"Rabbi, visited Newport in 1775",Amsterdam to London?,"Mirvis, 2018",
58,Cohen,Samuel,Samuel Cohen,,Emissary,9,1651,Mikve Israel,sephardic,1774,1774,"Paramaribo, Suriname",5.8520355,-55.2038278,South America,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Rabbi, visited Newport in 1775","Suriname to Curacao, then Barbados","Mirvis, 2018",
58,Cohen,Samuel,Samuel Cohen,,Emissary,20,1735,Zedek ve Shalom,sephardic,1774,1774,"London, England",51.5073509,-0.1277583,Western Europe,"Paramaribo, Suriname",5.8520355,-55.2038278,South America,"Rabbi, visited Newport in 1775","Arrived in Suriname from Hebron, then Curacao","Mirvis, 2018",
58,Cohen,Samuel,Samuel Cohen,,Emissary,7,1654,Nidhe Israel,sephardic,1774,1774,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,"Rabbi, visited Newport in 1775","Barbados to N. America, Newport?","Mirvis, 2018",
58,Cohen,Samuel,Samuel Cohen,,Emissary,24,1758,Jeshuat Israel,sephardic,1775,1775,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,"Newport, United States",41.4901024,-71.3128285,North America,"Rabbi, visited Newport in 1775","visiting, from Jerusalem originally, came at rec from barbados","Mirvis, 2018",
58,Cohen,Samuel,Samuel Cohen,,Emissary,14,1656,Sha'ar Hashamayim,sephardic,1776,,"Newport, United States",41.4901024,-71.3128285,North America,"London, England",51.5073509,-0.1277583,Western Europe,"Rabbi, visited Newport in 1775","Never went to NY as intended, war probably. Went to London","Mirvis, 2018",
59,Bosquila,Aaron,Aaron Bosquila,,Emissary,,,,,,1773,,,,,"Salonica, Greece",40.6400629,22.9444191,Southern Europe,"Rabbi, visited Newport in June 1774; Also NY in 1774, then sailed to Curacao July 1774 [cit 22 171]",From Smyrna,,
59,Bosquila,Aaron,Aaron Bosquila,,Emissary,24,1758,Jeshuat Israel,sephardic,1774,1774,"Salonica, Greece",40.6400629,22.9444191,Southern Europe,"Newport, United States",41.4901024,-71.3128285,North America,"Rabbi, visited Newport in June 1774; Also NY in 1774, then sailed to Curacao July 1774 [cit 22 171]","visited from Smyrna, June 1774","Chiel, 1972",307
59,Bosquila,Aaron,Aaron Bosquila,,Emissary,19,1654,Shearith Israel,sephardic,1774,1774,"Newport, United States",41.4901024,-71.3128285,North America,"New York, United States",40.7127753,-74.0059728,North America,"Rabbi, visited Newport in June 1774; Also NY in 1774, then sailed to Curacao July 1774 [cit 22 171]","Noted in minute books, July 25, 1774 as Mr. Aaron bosqualo","Chiel, 1972",312
59,Bosquila,Aaron,Aaron Bosquila,,Emissary,9,1651,Mikve Israel,sephardic,1774,1774,"New York, United States",40.7127753,-74.0059728,North America,"Willemstad, Curacao",12.1047416,-68.9326698,Caribbean,"Rabbi, visited Newport in June 1774; Also NY in 1774, then sailed to Curacao July 1774 [cit 22 171]","from S.I. minute books, sent him to Curacao, July 25, 1774","Emmanuel and Emmanuel, 1970",171
60,Calveres,[Rabbi],[Rabbi] Calveres,,Emissary,24,1758,Jeshuat Israel,sephardic,1788,1788,,,,,"Newport, United States",41.4901024,-71.3128285,North America,"visited Newport in 1788, see Moses Seixas' tsedaka records 5548 (email from Mary Jo Valdes)",visiting,,
73,Nieto,Isaac,Isaac Nieto,,,14,1656,Sha'ar Hashamayim,sephardic,1733,1741,"London, England",51.5073509,-0.1277583,Western Europe,"London, England",51.5073509,-0.1277583,Western Europe,"1733 Bevis Marks hakhan, London",,,
73,Nieto,Isaac,Isaac Nieto,,,23,1749,Shaar Hashamayim,sephardic,1749,1751,"London, England",51.5073509,-0.1277583,Western Europe,"Gibraltar, United Kingdom",36.140751,-5.353585,Southern Europe,"1733 Bevis Marks hakhan, London",,,
79,Seixas,Gershom Mendes,Gershom Mendes Seixas,234,,,,,,,,"New York, United States",40.7127753,-74.0059728,North America,"New York, United States",40.7127753,-74.0059728,North America,"Brother of Moses Seixas, hazzan of Shearith Israel","Born in NY, probably educated under Joseph Jessurun Pinto",,
79,Seixas,Gershom Mendes,Gershom Mendes Seixas,,hazzan,19,1654,Shearith Israel,sephardic,1768,1776,"New York, United States",40.7127753,-74.0059728,North America,"New York, United States",40.7127753,-74.0059728,North America,"Brother of Moses Seixas, hazzan of Shearith Israel",,"de Sola Pool, 1955",502
79,Seixas,Gershom Mendes,Gershom Mendes Seixas,,,26,1740,Mikveh Israel,sephardic,1780,1784,"New York, United States",40.7127753,-74.0059728,North America,"Philadelphia, United States",39.9525839,-75.1652215,North America,"Brother of Moses Seixas, hazzan of Shearith Israel",,,
79,Seixas,Gershom Mendes,Gershom Mendes Seixas,,hazzan,19,1654,Shearith Israel,sephardic,1784,1816,"Philadelphia, United States",39.9525839,-75.1652215,North America,"New York, United States",40.7127753,-74.0059728,North America,"Brother of Moses Seixas, hazzan of Shearith Israel",,"de Sola Pool, 1955",502
85,Pardo,Joseph,Joseph Pardo,,,,,,,,1597,"Salonica, Greece",40.6400629,22.9444191,Southern Europe,"Salonica, Greece",40.6400629,22.9444191,Southern Europe,"rabbi came to amsterdam from Mediterranean; Venice, Amst, Salonika, Ottoman Empire",,,
85,Pardo,Joseph,Joseph Pardo,,,1,1602,Beth Jacob,sephardic,1597,1619,"Salonica, Greece",40.6400629,22.9444191,Southern Europe,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"rabbi came to amsterdam from Mediterranean; Venice, Amst, Salonika, Ottoman Empire",,,
87,Abbady,Israel,Israel Abbady,,,7,1654,Nidhe Israel,sephardic,1772,1794,"Amsterdam, Netherlands",52.3702157,4.8951679,Western Europe,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,,,,
88,Abendana,[Rabbi],[Rabbi] Abendana,,,7,1654,Nidhe Israel,sephardic,1809,1813,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,"Bridgetown, Barbados",13.0968511,-59.6144819,Caribbean,Barbados Rabbi 1809-1813,,,
