idcongregation,congregation_name,translation,year_est,rite,lat,longitude,city,country,region,idcitation,pg,notes
42,Abudarham,NULL,1820,sephardic,36.140751,-5.353585,Gibraltar,United Kingdom,Southern Europe,0,NULL,"congregation expansion of yeshiva founded by Rabbi Solomon Aburdarham, by Moroccan immigrants as break from Shaar Hashamayim"
27,Beth Elohim,House of God,1749,sephardic,32.7764749,-79.9310512,Charleston,United States,North America,NULL,NULL,NULL
40,Mickve Israel,Hope of Israel,1733,sephardic,32.0835407,-81.0998342,Savannah,United States,North America,8,176-77,"42 jews arrived on William and Sarah, ship w Savannah founders"
37,Beraka ve Shalom ve Gemilut Hasadim,Blessing and Peace and Acts of Piety,1796,sephardic,18.3419004,-64.9307007,Charlotte Amalie,St. Thomas,Caribbean,8,140,many refugees from St Eustatius
34,Congregation St. Maarten,NULL,1783,sephardic,18.0295839,-63.0471371,Philipsburg,St. Maarten,Caribbean,8,262,many refugees from St Eustatius
15,Kahal Kadosh Neve Shalom,Abode (Dwelling Place) of Peace,1692,sephardic,18.18,-77.4,Spanish Town,Jamaica,Caribbean,96,40,founded 5452
38,Mikveh Yisrael,Hope of Israel,1790,ashkenazi,18.18,-77.4,Spanish Town,Jamaica,Caribbean,8,207,split from Neve Shalom
36,Kahal Kodosh Shaangare Yosher,Gates of the Upright (Rightousness),1787,ashkenazi,18.18,-77.4,Kingston,Jamaica,Caribbean,96,55,Organized 16 October 1784/5548
16,Kahal Kadosh Shaar Ha Shamaim,Gates of Heaven,1693,sephardic,18.18,-77.4,Kingston,Jamaica,Caribbean,96,46,probably founded soon after 1692 Port Royal Earhtquake
10,Kahal Kadosh Neve Zedek,Abode (Dwelling Place) of Justice,1684,sephardic,18.18,-77.4,Port Royal,Jamaica,Caribbean,96,39,Information from the tombstone of Rev. Haham Jeosuah (Joshua) Hisquiau deCordova
30,Congregation St. Croix,NULL,1764,sephardic,17.744077,-64.704155,Christiansted,St. Croix,Caribbean,4,232,NULL
21,Honen Dalim,Charitable to the Poor,1737,sephardic,17.4867485,-62.9764978,Orangjestad,St. Eustatius,Caribbean,NULL,NULL,NULL
11,Congregation Nevis,NULL,1684,sephardic,17.1374798,-62.6236633,Charlestown,Nevis,Caribbean,NULL,NULL,NULL
8,Semah David,Branch of David,1660,sephardic,13.17,-59.5525,Speightstown,Barbados,Caribbean,NULL,NULL,not seperate congregation from Nidhe Israel
7,Nidhe Israel,Scattered of Israel,1654,sephardic,13.17,-59.5525,Bridgetown,Barbados,Caribbean,NULL,NULL,NULL
9,Mikve Israel,Hope of Israel,1651,sephardic,12.1047416,-68.9326698,Willemstad,Curacao,Caribbean,NULL,NULL,NULL
22,Neve Shalom,Abode of Peace,1732,sephardic,12.1047416,-68.9326698,Willemstad,Curacao,Caribbean,21,58,"Branch of Mikve Israel congregation, Otrobanda neighborhood"
17,Santa Irmandad,Holy Brotherhood,1710,sephardic,10.797778,-68.3175,Tucacas,Venezuala,South America,NULL,NULL,estimate
20,Zedek ve Shalom,Justice and Peace,1735,sephardic,4,-56,Paramaribo,Suriname,South America,NULL,NULL,NULL
18,Neve Shalom,Abode of Peace,1735,ashkenazi,4,-56,Paramaribo,Suriname,South America,NULL,NULL,ashkenazi starting 1735
33,Darkhe Yesharim,Path of the Righteous,1779,Judeo-African Brotherhood,4,-56,Paramaribo,Suriname,South America,8,200,"Judeo-African; practice faith w no ritual restrictions, sustained formal affiliation with Jodensavanne"
13,Berakha ve Shalom,Blessing and Peace,1685,sephardic,4,-56,Jodensavanne,Suriname,South America,NULL,NULL,NULL
32,Darkhe Yesharim,Path of the Righteous,1759,Judeo-African Brotherhood,4,-56,Jodensavanne,Suriname,South America,8,200,"Judeo-Africans; auxilary of Berakha ve Shalom, not per se congregation"
12,Congregation Cassipora,NULL,1666,sephardic,4,-56,Cassipora,Suriname,South America,NULL,NULL,date of cemetery
47,Congregation Cayenne,NULL,1660,sephardic,4.92242,-52.3134531,Cayenne,French Guyana,South America,8,223,Best guess
5,Zur Israel,Rock of Israel,1638,sephardic,-8.054074,-34.8708494,Recife,Brazil,South America,16,3,NULL
6,Magen Abraham,Shield of Abraham,1648,sephardic,-8.054074,-34.8708494,Mauricia,Brazil,South America,NULL,NULL,NULL
