idbuildings,building_name,year_opened,composition,additional_comp,filter_on,architectural_element,AE_type,element_type,comp_quant,year_added,idlocation,location,lat,longitude,idcitation,cit_short,pg
34,"Touro Synagogue",1763,p34a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1763,25,"Newport, United States",41.489444,-71.311944,NULL,NULL,NULL
34,"Touro Synagogue",1763,p34a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1763,25,"Newport, United States",41.489444,-71.311944,NULL,NULL,NULL
34,"Touro Synagogue",1763,p34a,plan_elem,plan,footprint,"modified square basilica","footprint: modified square basilica",1,1763,25,"Newport, United States",41.489444,-71.311944,NULL,NULL,NULL
34,"Touro Synagogue",1763,p34a,plan_elem,plan,"plan_bay types",A_B_B_B_B_A,"plan_bay types: A_B_B_B_B_A",1,1763,25,"Newport, United States",41.489444,-71.311944,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,p43a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1732,6,"Willemstad, Curacao",12.105110,-68.932573,21,"Maduro, 1982",NULL
43,"Mikve Israel Synagogue (IV)",1732,p43a,plan_elem,plan,gallery,"one long","gallery: one long",1,1732,6,"Willemstad, Curacao",12.105110,-68.932573,21,"Maduro, 1982",30
43,"Mikve Israel Synagogue (IV)",1732,p43a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1732,6,"Willemstad, Curacao",12.105110,-68.932573,21,"Maduro, 1982",NULL
43,"Mikve Israel Synagogue (IV)",1732,p43a,plan_elem,plan,"plan_bay types",A_A_A,"plan_bay types: A_A_A",1,1732,6,"Willemstad, Curacao",12.105110,-68.932573,21,"Maduro, 1982",NULL
36,"Tzedek ve-Shalom Synagogue",1735,p36a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1735,11,"Paramaribo, Suriname",5.828858,-55.156256,11,"Coen-Uzzielli, 2010",22
36,"Tzedek ve-Shalom Synagogue",1735,p36a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1813,11,"Paramaribo, Suriname",5.828858,-55.156256,11,"Coen-Uzzielli, 2010",22
36,"Tzedek ve-Shalom Synagogue",1735,p36a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1735,11,"Paramaribo, Suriname",5.828858,-55.156256,11,"Coen-Uzzielli, 2010",22
36,"Tzedek ve-Shalom Synagogue",1735,p36a,plan_elem,plan,"plan_bay types",A_A_A_A_B_A_A_A,"plan_bay types: A_A_A_A_B_A_A_A",1,1813,11,"Paramaribo, Suriname",5.828858,-55.156256,91,"Groll, 2002",374
38,"Zur Israel Synagogue",1641,p38a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1641,2,"Recife, Brazil",-8.06131,-34.87132,50,"Breda, 2007",177
38,"Zur Israel Synagogue",1641,p38a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1641,2,"Recife, Brazil",-8.06131,-34.87132,50,"Breda, 2007",177
38,"Zur Israel Synagogue",1641,p38a,plan_elem,plan,gallery,"one short","gallery: one short",1,1641,2,"Recife, Brazil",-8.06131,-34.87132,49,"Cunha, 2007",43
1,"Creechurch Lane Synagogue",1657,p1a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1657,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",NULL
2,"Creechurch Lane Synagogue [1675]",1675,p2a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",61
33,"Mill Street Synagogue, Shearith Israel I",1730,p33a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",241
33,"Mill Street Synagogue, Shearith Israel I",1730,p33a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",240
129,"Shearith Israel (II)",1818,p129a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1818,24,"New York, United States",40.705016," -74.010199",8,"Stiefel, 2014",269
129,"Shearith Israel (II)",1818,p129a,plan_elem,plan,gallery,,gallery,1,1818,24,"New York, United States",40.705016," -74.010199",23,"de Sola Pool, 1955",49
2,"Creechurch Lane Synagogue [1675]",1675,p2a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",61
43,"Mikve Israel Synagogue (IV)",1732,p43a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1866,6,"Willemstad, Curacao",12.105110,-68.932573,21,"Maduro, 1982",77
21,"Great Synagogue (first, near Duke's Place)",1692,p21a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1702,8,"London, England",51.514313,-0.077881,72,"Roth, 1950",19
22,"Great Synagogue [Moses Hart's Shul] (second, near Duke's Place)",1722,p22a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1722,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",61
22,"Great Synagogue [Moses Hart's Shul] (second, near Duke's Place)",1722,p22a,plan_elem,plan,gallery,"one short","gallery: one short",1,1722,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",63
133,"Great Synagogue (Duke's Place, enlargement)",1766,p133a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",62
133,"Great Synagogue (Duke's Place, enlargement)",1766,p133a,plan_elem,plan,gallery,"two half-length long","gallery: two half-length long",1,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",67
133,"Great Synagogue (Duke's Place, enlargement)",1766,p133a,plan_elem,plan,"plan_bay types",A_A_A_A_B,"plan_bay types: A_A_A_A_B",1,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",67
133,"Great Synagogue (Duke's Place, enlargement)",1766,p133a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",67
31,"Great Synagogue (third, near Duke's Place)",1790,p31a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",73
31,"Great Synagogue (third, near Duke's Place)",1790,p31a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",76
31,"Great Synagogue (third, near Duke's Place)",1790,p31a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",73
31,"Great Synagogue (third, near Duke's Place)",1790,p31a,plan_elem,plan,"plan_bay types",A_B_B_B_B_B_A,"plan_bay types: A_B_B_B_B_B_A",1,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",73
136,"Beth Jacob",1614,p136a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1614,1,"Amsterdam, Netherlands",52.36859,4.900492,85,"Cohen Paraira and Smith, 2013",18
136,"Beth Jacob",1614,p136a,plan_elem,plan,gallery,,gallery,1,1614,1,"Amsterdam, Netherlands",52.36859,4.900492,85,"Cohen Paraira and Smith, 2013",18
137,"Neveh Shalom",1612,p137a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",202
137,"Neveh Shalom",1612,p137a,plan_elem,plan,gallery,"one short","gallery: one short",1,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",202
137,"Neveh Shalom",1612,p137a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",202
137,"Neveh Shalom",1612,p137a,plan_elem,plan,"plan_bay types",A_B_B_B_B_B_A,"plan_bay types: A_B_B_B_B_B_A",1,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",203
138,"Beth Israel",1618,p138a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1618,1,"Amsterdam, Netherlands",52.368577,4.902246,85,"Cohen Paraira and Smith, 2013",19
138,"Beth Israel",1618,p138a,plan_elem,plan,gallery,,gallery,1,1618,1,"Amsterdam, Netherlands",52.368577,4.902246,85,"Cohen Paraira and Smith, 2013",19
6,"Talmud Torah, Portuguese Synagogue I",1639,p6a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1639,1,"Amsterdam, Netherlands",52.368577,4.902246,87,"Agt, 1974",8
6,"Talmud Torah, Portuguese Synagogue I",1639,p6a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1639,1,"Amsterdam, Netherlands",52.368577,4.902246,87,"Agt, 1974",8
6,"Talmud Torah, Portuguese Synagogue I",1639,p6a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1639,1,"Amsterdam, Netherlands",52.368577,4.902246,87,"Agt, 1974",8
6,"Talmud Torah, Portuguese Synagogue I",1639,p6a,plan_elem,plan,"plan_bay types",A_A_A_A_B,"plan_bay types: A_A_A_A_B",1,1639,1,"Amsterdam, Netherlands",52.368577,4.902246,87,"Agt, 1974",8
7,"Grote Sjoel (Great Synagogue)",1671,p7a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,83,"Cohen Paraira, 1991",45
7,"Grote Sjoel (Great Synagogue)",1671,p7a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,87,"Agt, 1974",25
7,"Grote Sjoel (Great Synagogue)",1671,p7a,plan_elem,plan,footprint,"modified square basilica","footprint: modified square basilica",1,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,87,"Agt, 1974",25
7,"Grote Sjoel (Great Synagogue)",1671,p7a,plan_elem,plan,"plan_bay types",A_B_A,"plan_bay types: A_B_A",1,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,87,"Agt, 1974",25
9,"Obbene Shul Synagogue",1686,p9a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1686,1,"Amsterdam, Netherlands",52.367139,4.903745,87,"Agt, 1974",25
9,"Obbene Shul Synagogue",1686,p9a,plan_elem,plan,gallery,"one long one short","gallery: one long one short",1,1686,1,"Amsterdam, Netherlands",52.367139,4.903745,87,"Agt, 1974",25
9,"Obbene Shul Synagogue",1686,p9a,plan_elem,plan,gallery,"two long","gallery: two long",1,1686,1,"Amsterdam, Netherlands",52.367139,4.903745,87,"Agt, 1974",25
9,"Obbene Shul Synagogue",1686,p9a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1686,1,"Amsterdam, Netherlands",52.367139,4.903745,87,"Agt, 1974",25
10,"Dritt Shul",1700,p10a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1700,1,"Amsterdam, Netherlands",52.367259,4.903681,90,"Joods Cultureel Kwartier",NULL
142,"Dritt Sjoel",1778,p142a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1778,1,"Amsterdam, Netherlands",52.367259,4.903681,87,"Agt, 1974",25
142,"Dritt Sjoel",1778,p142a,plan_elem,plan,gallery,"two long","gallery: two long",1,1778,1,"Amsterdam, Netherlands",52.367259,4.903681,87,"Agt, 1974",25
13,"Nidhe Israel",1654,p13a,plan_elem,plan,footprint,"modified square basilica","footprint: modified square basilica",1,1654,4,"Bridgetown, Barbados",13.099444,-59.615278,51,"Miller, 2010",87
97,"Nidhe Israel",1833,p97a,plan_elem,plan,footprint,"modified square basilica","footprint: modified square basilica",1,1833,4,"Bridgetown, Barbados",13.099444,-59.615278,51,"Miller, 2010",87
134,"Honen Dalim Synagogue II",1773,p134a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1773,17,"Orangjestad, St. Eustatius",17.482597,-62.981295,10,"Hartog, 1976",8
134,"Honen Dalim Synagogue II",1773,p134a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1773,17,"Orangjestad, St. Eustatius",17.482597,-62.981295,8,"Stiefel, 2014",252
134,"Honen Dalim Synagogue II",1773,p134a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1773,17,"Orangjestad, St. Eustatius",17.482597,-62.981295,10,"Hartog, 1976",8
134,"Honen Dalim Synagogue II",1773,p134a,plan_elem,plan,"plan_bay types",A_A_B_A_A,"plan_bay types: A_A_B_A_A",1,1773,17,"Orangjestad, St. Eustatius",17.482597,-62.981295,10,"Hartog, 1976",8
39,"Neveh Shalom Synagogue",1704,p39a,plan_elem,plan,footprint,"rectangular basilica","footprint: rectangular basilica",1,1704,15,"Spanish Town, Jamaica",17.996980,-76.952828,8,"Stiefel, 2014",236
39,"Neveh Shalom Synagogue",1704,p39a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1704,15,"Spanish Town, Jamaica",17.996980,-76.952828,96,"Andrade, 1941",41
146,"High German synagogue",1648,p146a,plan_elem,plan,footprint,"repurposed tenement w/ upstairs prayer hall","footprint: repurposed tenement w/ upstairs prayer hall",1,1648,1,"Amsterdam, Netherlands",52.367887,4.901825,87,"Agt, 1974",20
146,"High German synagogue",1648,p146a,plan_elem,plan,gallery,"one long","gallery: one long",1,1648,1,"Amsterdam, Netherlands",52.367887,4.901825,87,"Agt, 1974",20
146,"High German synagogue",1648,p146a,plan_elem,plan,gallery,complete,"gallery: complete",1,1648,1,"Amsterdam, Netherlands",52.367887,4.901825,87,"Agt, 1974",20
11,"Nieuwe Synagoge",1752,p11a,plan_elem,plan,footprint,"modified square basilica","footprint: modified square basilica",1,1752,1,"Amsterdam, Netherlands",52.367077,4.904008,87,"Agt, 1974",61
11,"Nieuwe Synagoge",1752,p11a,plan_elem,plan,gallery,"two long","gallery: two long",1,1752,1,"Amsterdam, Netherlands",52.367077,4.904008,87,"Agt, 1974",61
11,"Nieuwe Synagoge",1752,p11a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1752,1,"Amsterdam, Netherlands",52.367077,4.904008,87,"Agt, 1974",61
14,"Beth Elohim Synagogue",1794,p14a,plan_elem,plan,"axis of symmetry","longtitudinal axis","axis of symmetry: longtitudinal axis",1,1794,23,"Charleston, United States",32.782300,-79.932732,94,"Ackermann, 2007",170
14,"Beth Elohim Synagogue",1794,p14a,plan_elem,plan,gallery,"two long plus one short","gallery: two long plus one short",1,1794,23,"Charleston, United States",32.782300,-79.932732,94,"Ackermann, 2007",170
14,"Beth Elohim Synagogue",1794,p14a,plan_elem,plan,footprint,"rectangular basilica with appendage","footprint: rectangular basilica with appendage",1,1794,23,"Charleston, United States",32.782300,-79.932732,94,"Ackermann, 2007",170
0,"Bevis Marks Synagogue",1701,f0w,w0a,window,"window frame",round-headed,"window frame: round-headed",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0a,window,"window frame",round-headed,"window frame: round-headed",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0a,window,"window frame",round-headed,"window frame: round-headed",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0a,window,"window frame",round-headed,"window frame: round-headed",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0a,window,keystone,plain,"keystone: plain",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0a,window,keystone,plain,"keystone: plain",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0a,window,keystone,plain,"keystone: plain",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0a,window,keystone,plain,"keystone: plain",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0a,window,architrave,simple,"architrave: simple",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0a,window,architrave,simple,"architrave: simple",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0a,window,architrave,simple,"architrave: simple",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0a,window,architrave,simple,"architrave: simple",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0a,window,"window sill",,"window sill",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0a,window,"window sill",,"window sill",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0a,window,"window sill",,"window sill",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0a,window,"window sill",,"window sill",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0b,window,"window frame",segmental,"window frame: segmental",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0b,window,"window frame",segmental,"window frame: segmental",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0b,window,"window frame",segmental,"window frame: segmental",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0b,window,keystone,plain,"keystone: plain",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0b,window,keystone,plain,"keystone: plain",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0b,window,keystone,plain,"keystone: plain",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0b,window,architrave,simple,"architrave: simple",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0b,window,architrave,simple,"architrave: simple",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0b,window,architrave,simple,"architrave: simple",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0b,window,"window sill",,"window sill",2,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0n,w0b,window,"window sill",,"window sill",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0s,w0b,window,"window sill",,"window sill",5,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0c,window,"window frame",elliptical,"window frame: elliptical",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0c,window,"window frame",elliptical,"window frame: elliptical",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0c,window,keystone,plain,"keystone: plain",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0c,window,keystone,plain,"keystone: plain",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0c,window,architrave,simple,"architrave: simple",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0c,window,architrave,simple,"architrave: simple",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0w,w0c,window,"window sill",,"window sill",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
0,"Bevis Marks Synagogue",1701,f0e,w0c,window,"window sill",,"window sill",1,1701,8,"London, England",51.514473,-0.078938,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4w,w4a,window,"window frame","rectangular ","window frame: rectangular ",4,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4w,w4a,window,"window frame","rectangular ","window frame: rectangular ",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4a,window,"window frame","rectangular ","window frame: rectangular ",6,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4a,window,"window frame","rectangular ","window frame: rectangular ",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4a,window,"window frame","rectangular ","window frame: rectangular ",6,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4a,window,"window frame","rectangular ","window frame: rectangular ",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4a,window,"window frame","rectangular ","window frame: rectangular ",2,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4a,window,"window frame","rectangular ","window frame: rectangular ",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e1773,w4a,window,"window frame","rectangular ","window frame: rectangular ",3,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,84,"Krabbe and de Room, 2013",94
4,"Esnoga, Talmud Torah II",1675,f4w,w4a,window,architrave,simple,"architrave: simple",4,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4w,w4a,window,architrave,simple,"architrave: simple",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4a,window,architrave,simple,"architrave: simple",6,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4a,window,architrave,simple,"architrave: simple",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4a,window,architrave,simple,"architrave: simple",6,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4a,window,architrave,simple,"architrave: simple",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4a,window,architrave,simple,"architrave: simple",2,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4a,window,architrave,simple,"architrave: simple",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e1773,w4a,window,architrave,simple,"architrave: simple",3,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,84,"Krabbe and de Room, 2013",94
4,"Esnoga, Talmud Torah II",1675,f4w,w4a,window,"window sill",,"window sill",4,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4w,w4a,window,"window sill",,"window sill",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
