idcongregation,congregation_name,translation,year_est,rite,lat,longitude,city,country,region,idcitation,pg,notes
40,"Mickve Israel","Hope of Israel",1733,sephardic,32.0835407,-81.09983419999998,Savannah,"United States","North America",8,176-77,"42 jews arrived on William and Sarah, ship w Savannah founders"
37,"Beraka ve Shalom ve Gemilut Hasadim","Blessing and Peace and Acts of Piety",1796,sephardic,18.3419004,-64.93070069999999,"Charlotte Amalie","St. Thomas",Caribbean,8,140,"many refugees from St Eustatius"
34,"Congregation St. Maarten",NULL,1783,sephardic,18.0295839,-63.047137099999986,Philipsburg,"St. Maarten",Caribbean,8,262,"many refugees from St Eustatius"
38,"Mikveh Yisrael","Hope of Israel",1790,ashkenazi,18.18,-77.4,"Spanish Town",Jamaica,Caribbean,8,207,"split from Neve Shalom"
15,"Kahal Kadosh Neve Shalom","Abode (Dwelling Place) of Peace",1692,sephardic,18.18,-77.4,"Spanish Town",Jamaica,Caribbean,96,40,"founded 5452"
36,"Kahal Kodosh Shaangare Yosher","Gates of the Upright (Rightousness)",1787,ashkenazi,18.18,-77.4,Kingston,Jamaica,Caribbean,96,55,"Organized 16 October 1784/5548"
16,"Kahal Kadosh Shaar Ha Shamaim","Gates of Heaven",1693,sephardic,18.18,-77.4,Kingston,Jamaica,Caribbean,96,46,"probably founded soon after 1692 Port Royal Earhtquake"
10,"Kahal Kadosh Neve Zedek","Abode (Dwelling Place) of Justice",1684,sephardic,18.18,-77.4,"Port Royal",Jamaica,Caribbean,96,39,"Information from the tombstone of Rev. Haham Jeosuah (Joshua) Hisquiau deCordova"
30,"Congregation St. Croix",NULL,1764,sephardic,17.744077,-64.704155,Christiansted,"St. Croix",Caribbean,4,232,NULL
21,"Honen Dalim","Charitable to the Poor",1737,sephardic,17.4867485,-62.976497800000004,Orangjestad,"St. Eustatius",Caribbean,NULL,NULL,NULL
11,"Congregation Nevis",NULL,1684,sephardic,17.1374798,-62.623663299999976,Charlestown,Nevis,Caribbean,NULL,NULL,NULL
8,"Semah David","Branch of David",1660,sephardic,13.17,-59.5525,Speightstown,Barbados,Caribbean,NULL,NULL,"not seperate congregation from Nidhe Israel"
7,"Nidhe Israel","Scattered of Israel",1654,sephardic,13.17,-59.5525,Bridgetown,Barbados,Caribbean,NULL,NULL,NULL
9,"Mikve Israel","Hope of Israel",1651,sephardic,12.1047416,-68.9326698,Willemstad,Curacao,Caribbean,NULL,NULL,NULL
22,"Neve Shalom","Abode of Peace",1732,sephardic,12.1047416,-68.9326698,Willemstad,Curacao,Caribbean,21,58,"Branch of Mikve Israel congregation, Otrobanda neighborhood"
17,"Santa Irmandad","Holy Brotherhood",1715,sephardic,10.797778,-68.3175,Tucacas,Venezuala,"South America",NULL,NULL,NULL
18,"Neve Shalom","Abode of Peace",1735,ashkenazi,4,-56,Paramaribo,Suriname,"South America",NULL,NULL,"ashkenazi starting 1735"
20,"Zedek ve Shalom","Justice and Peace",1735,sephardic,4,-56,Paramaribo,Suriname,"South America",NULL,NULL,NULL
33,"Darkhe Yesharim","Path of the Righteous",1779,sephardic,4,-56,Paramaribo,Suriname,"South America",8,200,"Judeo-African; practice faith w no ritual restrictions, sustained formal affiliation with Jodensavanne"
32,"Darkhe Yesharim","Path of the Righteous",1759,sephardic,4,-56,Jodensavanne,Suriname,"South America",8,200,"Judeo-Africans; auxilary of Berakha ve Shalom, not per se congregation"
13,"Berakha ve Shalom","Blessing and Peace",1685,sephardic,4,-56,Jodensavanne,Suriname,"South America",NULL,NULL,NULL
12,"Congregation Cassipora",NULL,1666,sephardic,4,-56,Cassipora,Suriname,"South America",NULL,NULL,"date of cemetery"
47,"Congregation Cayenne",NULL,1660,sephardic,4.922420000000001,-52.313453100000004,Cayenne,"French Guyana","South America",8,223,"Best guess"
6,"Magen Abraham","Shield of Abraham",1648,sephardic,-8.054074,-34.8708494,Mauricia,Brazil,"South America",NULL,NULL,NULL
5,"Zur Israel","Rock of Israel",1637,sephardic,-8.054074,-34.8708494,Recife,Brazil,"South America",16,3,NULL
