idcongregation,congregation_name,translation,year_est,rite,idbuildings,building_name,bld_lat,bld_long,bld_city,bld_state,bld_country,yr_start,year_opened,year_opened_acc,yr_end,year_nonextant,year_non_acc,cong_lat,cong_long,cong_city,cong_state,cong_country,region,notes,idcitation,cit_short,citation,pg
42,Abudarham,NULL,1820,sephardic,131,Abudarham,36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom",1821,1821,accurate,2021,0,,36.14075099999999,-5.353585000000066,Gibraltar,NULL,"United Kingdom","Southern Europe","congregation expansion of yeshiva founded by Rabbi Solomon Aburdarham, by Moroccan immigrants as break from Shaar Hashamayim",0,NULL,NULL,NULL
43,"Congregation of the Great Synagogue",NULL,1690,ashkenazi,21,"Great Synagogue (first, near Duke's Place)",51.5073509,-0.12775829999998223,London,NULL,England,1692,1692,accurate,1722,0,,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","congregation of Great Synagogue, Dukes Place",72,"Roth, 1950","Roth, Cecil. 1950. The Great Synagogue, London, 1690-1940. London: E. Goldston.",NULL
43,"Congregation of the Great Synagogue",NULL,1690,ashkenazi,22,"Great Synagogue [Moses Hart's Shul] (second, near Duke's Place)",51.5073509,-0.12775829999998223,London,NULL,England,1722,1722,accurate,1766,1765,accurate,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","congregation of Great Synagogue, Dukes Place",72,"Roth, 1950","Roth, Cecil. 1950. The Great Synagogue, London, 1690-1940. London: E. Goldston.",NULL
43,"Congregation of the Great Synagogue",NULL,1690,ashkenazi,133,"Great Synagogue (Duke's Place, enlargement)",51.5073509,-0.12775829999998223,London,NULL,England,1766,1766,accurate,1790,1790,accurate,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","congregation of Great Synagogue, Dukes Place",72,"Roth, 1950","Roth, Cecil. 1950. The Great Synagogue, London, 1690-1940. London: E. Goldston.",NULL
43,"Congregation of the Great Synagogue",NULL,1690,ashkenazi,31,"Great Synagogue (third, near Duke's Place)",51.5073509,-0.12775829999998223,London,NULL,England,1790,1790,accurate,1941,1941,accurate,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","congregation of Great Synagogue, Dukes Place",72,"Roth, 1950","Roth, Cecil. 1950. The Great Synagogue, London, 1690-1940. London: E. Goldston.",NULL
44,"Congregation of the Hambro Synagogue",NULL,1707,ashkenazi,141,"The Hambro Synagogue [Moses Marcus' Shul]",51.5073509,-0.12775829999998223,London,NULL,England,1707,1707,accurate,1725,1725,accurate,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe",NULL,73,"Renton, 2000","Renton, Peter. 2000. The Lost Synagogues of London. London: Tymsder Pub.",39
44,"Congregation of the Hambro Synagogue",NULL,1707,ashkenazi,23,"The Hambro Synagogue [Wolf Prager's Shul]",51.5073509,-0.12775829999998223,London,NULL,England,1725,1725,accurate,1893,1893,accurate,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe",NULL,73,"Renton, 2000","Renton, Peter. 2000. The Lost Synagogues of London. London: Tymsder Pub.",39
45,"Congregation of the New Synagogue",NULL,1761,ashkenazi,29,"New Synagogue [Bricklayer's Hall]",51.5073509,-0.12775829999998223,London,NULL,England,1761,1761,accurate,1837,0,,51.5073509,-0.12775829999998223,London,NULL,England,"Western Europe","first, ""The Society of Bricklayers' Hall""",73,"Renton, 2000","Renton, Peter. 2000. The Lost Synagogues of London. London: Tymsder Pub.",44
46,"High German Congregation",NULL,1635,ashkenazi,146,"High German synagogue",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1648,1648,accurate,1671,1671,accurate,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe","Amsterdam Ashkenazi congregation founded",85,"Cohen Paraira and Smith, 2013","Cohen Paraira, David, and Jos Smith. 2013. “The Portuguese Jewish Community in Amsterdam.” In The Portuguese Synagogue in Amsterdam, 11–43. Amsterdam: WBooks.
",20
46,"High German Congregation",NULL,1635,ashkenazi,7,"Grote Sjoel (Great Synagogue)",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1671,1671,accurate,2021,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe","Amsterdam Ashkenazi congregation founded",85,"Cohen Paraira and Smith, 2013","Cohen Paraira, David, and Jos Smith. 2013. “The Portuguese Jewish Community in Amsterdam.” In The Portuguese Synagogue in Amsterdam, 11–43. Amsterdam: WBooks.
",20
46,"High German Congregation",NULL,1635,ashkenazi,9,"Obbene Shul Synagogue",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1686,1686,accurate,2021,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe","Amsterdam Ashkenazi congregation founded",85,"Cohen Paraira and Smith, 2013","Cohen Paraira, David, and Jos Smith. 2013. “The Portuguese Jewish Community in Amsterdam.” In The Portuguese Synagogue in Amsterdam, 11–43. Amsterdam: WBooks.
",20
46,"High German Congregation",NULL,1635,ashkenazi,10,"Dritt Shul",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1700,1700,accurate,1777,1777,accurate,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe","Amsterdam Ashkenazi congregation founded",85,"Cohen Paraira and Smith, 2013","Cohen Paraira, David, and Jos Smith. 2013. “The Portuguese Jewish Community in Amsterdam.” In The Portuguese Synagogue in Amsterdam, 11–43. Amsterdam: WBooks.
",20
46,"High German Congregation",NULL,1635,ashkenazi,11,"Nieuwe Ashkenazic Synagogue",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1752,1752,accurate,1943,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe","Amsterdam Ashkenazi congregation founded",85,"Cohen Paraira and Smith, 2013","Cohen Paraira, David, and Jos Smith. 2013. “The Portuguese Jewish Community in Amsterdam.” In The Portuguese Synagogue in Amsterdam, 11–43. Amsterdam: WBooks.
",20
46,"High German Congregation",NULL,1635,ashkenazi,12,"Uilenburgerstraat synagoge",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1766,1766,accurate,2021,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe","Amsterdam Ashkenazi congregation founded",85,"Cohen Paraira and Smith, 2013","Cohen Paraira, David, and Jos Smith. 2013. “The Portuguese Jewish Community in Amsterdam.” In The Portuguese Synagogue in Amsterdam, 11–43. Amsterdam: WBooks.
",20
46,"High German Congregation",NULL,1635,ashkenazi,142,"Dritt Sjoel",52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,1777,1778,accurate,2021,0,,52.3702157,4.895167899999933,Amsterdam,NULL,Netherlands,"Western Europe","Amsterdam Ashkenazi congregation founded",85,"Cohen Paraira and Smith, 2013","Cohen Paraira, David, and Jos Smith. 2013. “The Portuguese Jewish Community in Amsterdam.” In The Portuguese Synagogue in Amsterdam, 11–43. Amsterdam: WBooks.
",20
47,"Congregation Cayenne",NULL,1660,sephardic,110,"Synagogue Cayenne",4.922420000000001,-52.313453100000004,Cayenne,NULL,"French Guyana",1661,1661,accurate,1667,1667,accurate,4.922420000000001,-52.313453100000004,Cayenne,NULL,"French Guyana","South America","Best guess",8,"Stiefel, 2014","Stiefel, Barry, David Rittenberg, and Samuel Gruber. 2014. Jewish Sanctuary in the Atlantic World: A Social and Architectural History. Columbia, SC: University of South Carolina Press.",223
48,"Honen Dal",NULL,1698,sephardic,145,"Honen Dal I",52.083333,4.316667,"The Hague",NULL,Netherlands,1698,1698,accurate,1726,1725,accurate,52.083333,4.316667,"The Hague",NULL,Netherlands,"Western Europe","second seph synagogue est in 1698, by Jacob Abenacar Veiga, in his guest house on the Bierkade, and later moved to Casuariestraat and Lange Voorhout, fashionable part of the hague where wealth port. Jews lived. 1709, this congregation took name Honen Dal",80,"Vlaardingerbroek, ed., 2013","Vlaardingerbroek, Pieter, ed. 2013. The Portuguese Synagogue in Amsterdam. WBooks.",31
48,"Honen Dal",NULL,1698,sephardic,135,"Honen Dal ",52.083333,4.316667,"The Hague",NULL,Netherlands,1726,1726,accurate,1943,0,,52.083333,4.316667,"The Hague",NULL,Netherlands,"Western Europe","second seph synagogue est in 1698, by Jacob Abenacar Veiga, in his guest house on the Bierkade, and later moved to Casuariestraat and Lange Voorhout, fashionable part of the hague where wealth port. Jews lived. 1709, this congregation took name Honen Dal",80,"Vlaardingerbroek, ed., 2013","Vlaardingerbroek, Pieter, ed. 2013. The Portuguese Synagogue in Amsterdam. WBooks.",31
49,"Beth Jacob",NULL,1692,sephardic,144,"Beth Jacob",52.083333,4.316667,"The Hague",NULL,Netherlands,1692,1692,accurate,1743,1743,accurate,52.083333,4.316667,"The Hague",NULL,Netherlands,"Western Europe","largest sephardim outside Amsterdam in the Netherlands, was in the Hague- small group as early as 1677, official congregation established in 1692 by Jacob Pereira; merged w Honen Dal in 1743",80,"Vlaardingerbroek, ed., 2013","Vlaardingerbroek, Pieter, ed. 2013. The Portuguese Synagogue in Amsterdam. WBooks.",31
