donor,donor_type,donor_id_loc,donor_loc_name,donor_lat,donor_lon,recipient_id,recipient_name,recipient_type,recipient_congregation,recipient_id_loc,recipient_loc_name,recipient_lat,recipient_lon,contr_type,RE_type,contr_year,contr_amt,curr_type,contr_honors,citation,pg
"David Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,5,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Nathan Levy",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,5,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Ishack Gonsalez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,5,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Jehudah bar Simson",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Aaron Louzada",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Moses Louzada",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Jacob Gonsales",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"David Hays",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Judah Hays",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Isaac Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,3,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Benjamin Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",10
"Ishack da Fonseca",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Ishack bar Jehudah",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Isaac Polock",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,3,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Aharon Israel Pereira",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,3.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Jacob Mendes da Costa",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,3.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Benjamin da Costa",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,8.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Moses Daniel Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Semuel bar Meyr aCohen",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Ishack Lopez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"David Mendes Machado",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Mosseh Mendez Alvarez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Binyamin Mendez Machado",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Bilah Bat Hisquiau Semuel a Levy",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"David Lopez",individual,44,Barbados,13.17,-59.5525,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,4,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Moses Hezekiah Lopez de Fonseca",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,2.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Elias Lopez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Rebecca Asher",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1728,1.04,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",11
"Moses Michaels",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1729,4.04,"pounds sterling","first cornerstone","""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",12
"Benjamin Mendes Pacheco",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1729,7,"pounds sterling","second cornerstone","""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",12
